Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address
04/15/2019,DODG,4D,,PLE,AA38654,IL,10300 S. Doty
04/15/2019,DODG,4T,,BLK,KDT8250,TX,701 N. Sacramento
04/15/2019,FORD,2D,,BLU,854MPK,WI,10300 S. Doty
04/15/2019,FORD,4D,,WHI,AW18052,IL,10300 S. Doty
04/15/2019,FORD,LL,TK,MAR,6240TX,IL,701 N. Sacramento
04/15/2019,FORD,LL,TK,BGE,BE38546,IL,701 N. Sacramento
04/15/2019,FORD,LL,,SIL,,IL,10300 S. Doty
04/15/2019,FORD,LL,,RED,BD23582,IL,10300 S. Doty
04/15/2019,FORD,PK,TK,GRN,,IL,701 N. Sacramento
04/15/2019,FORD,PK,,WHI,2551416B,IL,701 N. Sacramento
04/15/2019,FORD,PK,TK,SIL,G7035,ND,701 N. Sacramento
04/15/2019,FORD,VN,,WHI,AG44437,IL,701 N. Sacramento
04/15/2019,GMC,LL,,BLK,687U276,IL,701 N. Sacramento
04/15/2019,GMC,LL,TK,BLK,BA37649,IL,10300 S. Doty
04/15/2019,GMC,VN,TK,WHI,N222570,IL,10300 S. Doty
04/15/2019,HOND,2D,CIV,SIL,BD73754,IL,400 E. Lower Wacker
04/15/2019,HOND,4D,,TAN,R7254,ND,701 N. Sacramento
04/15/2019,HOND,4D,,GRN,9404144,IL,701 N. Sacramento
04/15/2019,HOND,VN,,GRY,,IL,10300 S. Doty
04/15/2019,HOND,VN,TK,BLU,BG26286,IL,701 N. Sacramento
04/15/2019,HYUN,4D,,SIL,772AZD,IN,10300 S. Doty
04/15/2019,ISU,LL,,WHI,AL16000,IL,10300 S. Doty
04/15/2019,JAGU,4D,,RED,V207232,IL,10300 S. Doty
04/15/2019,JEEP,LL,,GRY,,IL,10300 S. Doty
04/15/2019,KIA,4D,,BLK,AB53978,IL,10300 S. Doty
04/15/2019,KIA,4D,,BLU,BE94464,IL,10300 S. Doty
04/15/2019,MAZD,4D,,GRY,Z677546,IL,701 N. Sacramento
04/15/2019,MAZD,4H,,WHI,S795367,IL,701 N. Sacramento
